Code,MCC Group1,Group Description1
3289,MCCG1,Airlines
3290,MCCG1,Airlines
3291,MCCG1,Airlines
3292,MCCG1,Airlines
3293,MCCG1,Airlines
3294,MCCG1,Airlines
3295,MCCG1,Airlines
3296,MCCG1,Airlines
3297,MCCG1,Airlines
3298,MCCG1,Airlines
3299,MCCG1,Airlines
3300,MCCG2,Rental Car
3301,MCCG2,Rental Car
3302,MCCG2,Rental Car
3303,MCCG2,Rental Car
3304,MCCG2,Rental Car
3305,MCCG2,Rental Car
3306,MCCG2,Rental Car
3307,MCCG2,Rental Car
3308,MCCG2,Rental Car
3309,MCCG2,Rental Car
3310,MCCG2,Rental Car
3311,MCCG2,Rental Car
3312,MCCG2,Rental Car
3313,MCCG2,Rental Car
3314,MCCG2,Rental Car
3315,MCCG2,Rental Car
3316,MCCG2,Rental Car
3317,MCCG2,Rental Car
3318,MCCG2,Rental Car
3319,MCCG2,Rental Car
3320,MCCG2,Rental Car
3321,MCCG2,Rental Car
3322,MCCG2,Rental Car
3323,MCCG2,Rental Car
3324,MCCG2,Rental Car
3325,MCCG2,Rental Car
3326,MCCG2,Rental Car
3327,MCCG2,Rental Car
3328,MCCG2,Rental Car
3329,MCCG2,Rental Car
3330,MCCG2,Rental Car
3331,MCCG2,Rental Car
3332,MCCG2,Rental Car
3333,MCCG2,Rental Car
3334,MCCG2,Rental Car
3335,MCCG2,Rental Car
3336,MCCG2,Rental Car
3337,MCCG2,Rental Car
3338,MCCG2,Rental Car
3339,MCCG2,Rental Car
3340,MCCG2,Rental Car
3341,MCCG2,Rental Car
3342,MCCG2,Rental Car
3343,MCCG2,Rental Car
3344,MCCG2,Rental Car
3345,MCCG2,Rental Car
3346,MCCG2,Rental Car
3347,MCCG2,Rental Car
3348,MCCG2,Rental Car
3349,MCCG2,Rental Car
3350,MCCG2,Rental Car
3351,MCCG2,Rental Car
3352,MCCG2,Rental Car
3353,MCCG2,Rental Car
3354,MCCG2,Rental Car
3355,MCCG2,Rental Car
3356,MCCG2,Rental Car
3357,MCCG2,Rental Car
3358,MCCG2,Rental Car
3359,MCCG2,Rental Car
3360,MCCG2,Rental Car
3361,MCCG2,Rental Car
3362,MCCG2,Rental Car
3363,MCCG2,Rental Car
3364,MCCG2,Rental Car
3365,MCCG2,Rental Car
3366,MCCG2,Rental Car
3367,MCCG2,Rental Car
3368,MCCG2,Rental Car
3369,MCCG2,Rental Car
3370,MCCG2,Rental Car
3371,MCCG2,Rental Car
3372,MCCG2,Rental Car
3373,MCCG2,Rental Car
3374,MCCG2,Rental Car
3375,MCCG2,Rental Car
3376,MCCG2,Rental Car
3377,MCCG2,Rental Car
3378,MCCG2,Rental Car
3379,MCCG2,Rental Car
3380,MCCG2,Rental Car
3381,MCCG2,Rental Car
3382,MCCG2,Rental Car
3383,MCCG2,Rental Car
3384,MCCG2,Rental Car
3385,MCCG2,Rental Car
3386,MCCG2,Rental Car
3387,MCCG2,Rental Car
3388,MCCG2,Rental Car
3389,MCCG2,Rental Car
3390,MCCG2,Rental Car
3391,MCCG2,Rental Car
3392,MCCG2,Rental Car
3393,MCCG2,Rental Car
3394,MCCG2,Rental Car
3395,MCCG2,Rental Car
3396,MCCG2,Rental Car
3397,MCCG2,Rental Car
3398,MCCG2,Rental Car
3399,MCCG2,Rental Car
3400,MCCG2,Rental Car
3401,MCCG2,Rental Car
3402,MCCG2,Rental Car
3403,MCCG2,Rental Car
3404,MCCG2,Rental Car
3405,MCCG2,Rental Car
3406,MCCG2,Rental Car
